booktitle,h5_index
CVPR,440
NeurIPS,309
ICCV,304
ICML,254
ECCV,238
ICLR,198
ICASSP,172
EMNLP,135
AAAI,124
INTERSPEECH,119
SIGMOD Conference,118
INFOCOM,116
ICRA,94
WWW,80
ACL,72
NSDI,68
IJCAI,67
IROS,65
KDD,65
OSDI,65
CDC,61
DAC,61
CRYPTO,56
EUROCRYPT,56
SIGCOMM,56
SOSP,56
ACC,55
SIGIR,55
CHI,54
CIKM,52
IGARSS,52
ICCAD,45
SODA,39
ICDM,38
FOCS,29
STOC,28
AAMAS,
ACM Multimedia,
AIED,
AINA,
AMCIS,
AMIA,
APMS,
APSIPA,
ASIST,
ASP-DAC,
BIBM,
BMSB,
BMVC,
CASE,
CEC,
CHI Extended Abstracts,
COMPSAC,
CSCW,
CSCWD,
CinC,
CogSci,
Computer-Aided Diagnosis,
DASFAA,
DATE,
Description Logics,
ECC,
ECIS,
ECOC,
EMBC,
ETFA,
EUSIPCO,
FIE,
FUSION,
FUZZ-IEEE,
GCCE,
GD,
GECCO,
GLOBECOM,
HCI,
HICSS,
HPEC,
HRI,
Humanoids,
I2MTC,
IAS,
ICC,
ICCE,
ICCSA,
ICDAR,
ICDE,
ICECS,
ICIC,
ICIP,
ICIS,
ICMC,
ICME,
ICONIP,
ICPR,
ICSE,
ICTC,
ICTON,
IECON,
IJCNN,
IPDPS,
ISBI,
ISCAS,
ISIT,
ISMIR,
ISMVL,
ISSCC,
ITC,
ITSC,
Image Processing,
Image-Guided Procedures,
KES,
LREC,
MeMeA,
NBiS,
OFC,
PIMRC,
PODC,
ROBIO,
SEBD,
SIGCSE,
SMC,
VTC Fall,
VTC Spring,
WCNC,
WCSP,
WSC,
